experiment,k,depth,run,witness_s,prove_s,verify_s,total_prover_s,status
merkle_depth,10,4,27,0.12184854499997755,3.6360686840000085,0.6279889219999859,3.757917228999986,success
merkle_depth,10,4,28,0.12303449400002364,3.6507514390000324,0.6442939750000392,3.773785933000056,success
merkle_depth,10,4,29,0.13254749000003585,3.643659522000007,0.6323058610000203,3.776207012000043,success
merkle_depth,10,4,30,0.13714247999996587,3.628852426000037,0.634367984999983,3.765994906000003,success
merkle_depth,10,8,1,0.12822672800001556,3.780201004000048,0.6359531179999749,3.9084277320000638,success
merkle_depth,10,8,2,0.1296623629999658,3.8006409060000124,0.6554666660000521,3.930303268999978,success
merkle_depth,10,8,3,0.15025640899995096,3.8102786270000024,0.640859407999983,3.9605350359999534,success
merkle_depth,10,8,4,0.14142363199999863,3.7930078700000536,0.6485696729999972,3.934431502000052,success
merkle_depth,10,8,5,0.13650793799996563,3.7967843170000037,0.6472236139999836,3.9332922549999694,success
merkle_depth,10,8,6,0.14556209099998796,3.81548117899996,0.6293096909999463,3.961043269999948,success
merkle_depth,10,8,7,0.1289755099999752,3.8463026130000344,0.6493115889999785,3.9752781230000096,success
merkle_depth,10,8,8,0.136353124999971,3.819365829999981,0.6409786719999602,3.955718954999952,success
merkle_depth,10,8,9,0.13030964699999004,3.793049887000052,0.635990731999982,3.923359534000042,success
merkle_depth,10,8,10,0.13499050399991575,3.794874183000047,0.636256560999982,3.929864686999963,success
merkle_depth,10,8,11,0.1269961330000342,3.7353161440000804,0.6455199580000226,3.8623122770001146,success
merkle_depth,10,8,12,0.12727583200000936,3.778491049000081,0.6419735399999809,3.9057668810000905,success
merkle_depth,10,8,13,0.14424074800001563,3.7973118000001023,0.641838622000023,3.941552548000118,success
merkle_depth,10,8,14,0.12731687100006184,3.796587417000069,0.6453880510000545,3.9239042880001307,success
merkle_depth,10,8,15,0.13868906699997297,3.7765487700000904,0.6442247250000719,3.9152378370000633,success
merkle_depth,10,8,16,0.1314911709999933,3.8177421410000534,0.6627825980000353,3.9492333120000467,success
merkle_depth,10,8,17,0.13251677400000972,3.8271336149999797,0.6525068590000274,3.9596503889999894,success
merkle_depth,10,8,18,0.13505008599997836,3.8096380549999367,0.6569638590000295,3.944688140999915,success
merkle_depth,10,8,19,0.1409497659999488,3.8784159790000103,0.6478493949999802,4.019365744999959,success
merkle_depth,10,8,20,0.14491793900003813,3.8100547729999334,0.6382944189999762,3.9549727119999716,success
merkle_depth,10,8,21,0.1436102599999458,3.8009492439999804,0.6351428539999233,3.944559503999926,success
merkle_depth,10,8,22,0.12856210600000395,3.763812909999956,0.6476887599999372,3.89237501599996,success
merkle_depth,10,8,23,0.142704158000015,3.760329361999993,0.6532258769999544,3.903033520000008,success
merkle_depth,10,8,24,0.142728947999899,3.795655667999995,0.6412973219999003,3.938384615999894,success
merkle_depth,10,8,25,0.13987120399997366,3.7609567490000018,0.6480102950000628,3.9008279529999754,success
merkle_depth,10,8,26,0.14174254899990046,3.797488069999986,0.6319893309999998,3.9392306189998862,success
merkle_depth,10,8,27,0.14527655100005177,3.813674336999952,0.6507796099999723,3.958950888000004,success
merkle_depth,10,8,28,0.13252503700005036,3.8000782010000194,0.633042989000046,3.9326032380000697,success
merkle_depth,10,8,29,0.13375415100006194,3.795613892999995,0.6614609529999598,3.929368044000057,success
merkle_depth,10,8,30,0.13045917899989945,3.7925109669999983,0.6411451400000487,3.922970145999898,success
merkle_depth,10,16,1,0.41536531999997806,5.049353197000073,0.628857299999936,5.464718517000051,success
merkle_depth,10,16,2,0.4328374880000183,5.098084205999953,0.629596547999995,5.5309216939999715,success
merkle_depth,10,16,3,0.4153927150000527,5.09595074899994,0.6341384100001051,5.511343463999992,success
merkle_depth,10,16,4,0.43552401499994176,5.074698187999957,0.632672532000015,5.510222202999898,success
merkle_depth,10,16,5,0.42133492799996475,5.059847359000059,0.6378354269999136,5.481182287000024,success
merkle_depth,10,16,6,0.4243100080000204,5.15300314000001,0.6639037830000234,5.57731314800003,success
merkle_depth,10,16,7,0.42748946200003957,5.097559622999938,0.640622852999968,5.525049084999978,success
merkle_depth,10,16,8,0.4321108030000005,5.057816254000045,0.6370133439999108,5.489927057000045,success
merkle_depth,10,16,9,0.43132483099998353,5.06593430800001,0.627905781000095,5.497259138999993,success
merkle_depth,10,16,10,0.4177171049999515,5.068125132999967,0.631695751000052,5.485842237999918,success
merkle_depth,10,16,11,0.42071218000000954,5.094025149000004,0.6538674560000572,5.514737329000013,success
merkle_depth,10,16,12,0.4163294260000612,5.056334626999956,0.6367487940000274,5.472664053000017,success
merkle_depth,10,16,13,0.4252846969999382,5.039571550000005,0.6398398740000175,5.464856246999943,success
merkle_depth,10,16,14,0.43068694699991283,5.083713276999902,0.6331439409999575,5.514400223999814,success
merkle_depth,10,16,15,0.41412779500001307,5.052048990999992,0.6462373640000578,5.4661767860000054,success
merkle_depth,10,16,16,0.42929108999999244,5.116468743000041,0.6323442829999522,5.545759833000034,success
merkle_depth,10,16,17,0.4233397599999762,5.025657177000085,0.6535142879999967,5.448996937000061,success
merkle_depth,10,16,18,0.41913353799998276,5.0357343990000345,0.6439546479999763,5.454867937000017,success
merkle_depth,10,16,19,0.41552870399993935,5.085668563000013,0.6458111290000943,5.501197266999952,success
merkle_depth,10,16,20,0.42387999100003526,5.065481481999996,0.6318736829999807,5.489361473000031,success
merkle_depth,10,16,21,0.42385999500004345,5.061973158000001,0.6254715390000456,5.485833153000044,success
merkle_depth,10,16,22,0.42989352600000075,5.045772155999998,0.6304117949999863,5.475665681999999,success
merkle_depth,10,16,23,0.4173336249999693,5.066060187000062,0.6446320339999829,5.483393812000031,success
merkle_depth,10,16,24,0.414086144999942,5.070035067000049,0.627974901000016,5.484121211999991,success
merkle_depth,10,16,25,0.42357308999999077,5.063543112999923,0.6320894480001016,5.487116202999914,success
merkle_depth,10,16,26,0.4196545800000422,5.0222608049999735,0.6309776260000035,5.441915385000016,success
merkle_depth,10,16,27,0.41691087200001675,5.041815947000032,0.6418467360000477,5.458726819000049,success
merkle_depth,10,16,28,0.4160441770000034,5.005439539999998,0.6349954830000115,5.421483717000001,success
merkle_depth,10,16,29,0.4054615839999087,5.045204744999978,0.6379688050000141,5.450666328999887,success
merkle_depth,10,16,30,0.40394813300008536,5.030795889000046,0.6287263699999812,5.434744022000132,success
