experiment,k,depth,metric,mean_s,stdev_s,median_s,min_s,max_s
merkle_depth,10,2,witness_s,0.13160832336666412,0.010538573559741518,0.12909914849998927,0.12085405299998797,0.17401753400000075
merkle_depth,10,2,prove_s,3.6587956435333324,0.20683055913899456,3.591315379500003,3.5440781300000026,4.282469489999983
merkle_depth,10,2,verify_s,0.6575263049,0.04568844597355001,0.6452637634999974,0.6288260040000182,0.8693817209999963
merkle_depth,10,2,total_prover_s,3.7904039668999965,0.21584909458509052,3.722623587499996,3.668725655000003,4.456487023999983
merkle_depth,10,4,witness_s,0.1319575192000021,0.005903863486990858,0.1318680910000012,0.12184854499997755,0.14327315299999555
merkle_depth,10,4,prove_s,3.6647130105333323,0.032222130327217886,3.663179339999971,3.6027311660000123,3.7499600559999635
merkle_depth,10,4,verify_s,0.6421278893000041,0.010378860392903845,0.6412913414999935,0.6262269930000457,0.6704380470000046
merkle_depth,10,4,total_prover_s,3.7966705297333343,0.03395723533510704,3.7941291464999836,3.7282492049999973,3.89186179699999
merkle_depth,10,8,witness_s,0.13643154923332002,0.006778860389499106,0.13570160549997468,0.1269961330000342,0.15025640899995096
merkle_depth,10,8,prove_s,3.7986098520000136,0.02667693813558899,3.797048058500053,3.7353161440000804,3.8784159790000103
merkle_depth,10,8,verify_s,0.6447014960333282,0.00846369139226922,0.6448063880000632,0.6293096909999463,0.6627825980000353
merkle_depth,10,8,total_prover_s,3.9350414012333337,0.02893118221045723,3.933861878500011,3.8623122770001146,4.019365744999959
merkle_depth,10,16,witness_s,0.4214162176666605,0.007725387056501698,0.42102355399998714,0.40394813300008536,0.43552401499994176
merkle_depth,10,16,prove_s,5.064265890733335,0.030349905817745295,5.062758135499962,5.005439539999998,5.15300314000001
merkle_depth,10,16,verify_s,0.6372223975333441,0.008920787654393239,0.6345669465000583,0.6254715390000456,0.6639037830000234
merkle_depth,10,16,total_prover_s,5.485682108399995,0.03392234969898324,5.4849771825000175,5.421483717000001,5.57731314800003
