experiment,k,depth,metric,mean_s,stdev_s,median_s,min_s,max_s
bounded_history,10,2,witness_s,0.12799940763333523,0.00493073315143963,0.12748652850000042,0.1199718750000045,0.14340319799998724
bounded_history,10,2,prove_s,3.5440917616000007,0.030944450819261886,3.535542085500012,3.4974065889999792,3.6306992679999723
bounded_history,10,2,verify_s,0.6260693970666665,0.01363908648914781,0.6243715199999968,0.6080518240000004,0.6898388090000083
bounded_history,10,2,total_prover_s,3.672091169233336,0.03203728186932399,3.6625765035000057,3.622981164999999,3.7741024659999596
bounded_history,15,2,witness_s,0.4164578571000059,0.020790788279109424,0.41355013400001894,0.39684139399997775,0.5119969149999974
bounded_history,15,2,prove_s,5.307388132500001,0.30967812753730933,5.208655551500016,5.148192574999996,6.462865000999955
bounded_history,15,2,verify_s,0.6380394769000058,0.021972899676276247,0.6318805635000047,0.6201779870000337,0.7026993160000075
bounded_history,15,2,total_prover_s,5.723845989600007,0.32410088738914145,5.621955544500025,5.55701574699998,6.974861915999952
bounded_history,20,2,witness_s,0.40702157166667235,0.013176516269709221,0.4047565024999926,0.3775218539999514,0.4453684160000648
bounded_history,20,2,prove_s,5.859512377066674,0.278179865069965,5.784434132499996,5.699487689999955,6.987254241999949
bounded_history,20,2,verify_s,0.6305647459666527,0.015817588021068578,0.6281950569999992,0.6053668029999244,0.6818692120000378
bounded_history,20,2,total_prover_s,6.266533948733346,0.28655137292423866,6.188948065499972,6.10068482500003,7.420998733999909
