experiment,k,depth,run,witness_s,prove_s,verify_s,total_prover_s,status
bounded_history,10,2,1,0.12543208099999958,3.5380035850000127,0.6161995259999884,3.6634356660000122,success
bounded_history,10,2,2,0.13237839699999654,3.5137571240000085,0.6262159300000008,3.646135521000005,success
bounded_history,10,2,3,0.12526824100000056,3.533080586000011,0.6316447519999997,3.6583488270000117,success
bounded_history,10,2,4,0.1199718750000045,3.55563961499999,0.6218309799999986,3.6756114899999943,success
bounded_history,10,2,5,0.13179550499999948,3.5299218359999998,0.6240314770000026,3.6617173409999992,success
bounded_history,10,2,6,0.12588796900000432,3.5435044530000113,0.6328621279999993,3.6693924220000156,success
bounded_history,10,2,7,0.12288372900000866,3.532189484,0.6171776019999982,3.6550732130000085,success
bounded_history,10,2,8,0.12517347799999357,3.504652039000007,0.6294468880000039,3.6298255170000004,success
bounded_history,10,2,9,0.12740008099999045,3.529695953000001,0.625621374000005,3.6570960339999914,success
bounded_history,10,2,10,0.13503991199999632,3.5403772680000003,0.6280910490000053,3.6754171799999966,success
bounded_history,10,2,11,0.12803565600000866,3.5955527560000036,0.6242102189999912,3.7235884120000122,success
bounded_history,10,2,12,0.12564356400000065,3.5528563330000225,0.6147735160000138,3.678499897000023,success
bounded_history,10,2,13,0.12352115900000626,3.5919217869999898,0.6080518240000004,3.715442945999996,success
bounded_history,10,2,14,0.1278307009999935,3.53062745699998,0.6221861309999781,3.6584581579999735,success
bounded_history,10,2,15,0.13154523700001164,3.5263438860000065,0.6269669659999977,3.657889123000018,success
bounded_history,10,2,16,0.1269889110000122,3.545362345000001,0.6332790590000172,3.672351256000013,success
bounded_history,10,2,17,0.13195830200001524,3.555634442000013,0.6140023840000026,3.6875927440000282,success
bounded_history,10,2,18,0.12557457600001953,3.4974065889999792,0.6215197030000184,3.622981164999999,success
bounded_history,10,2,19,0.1312271550000048,3.5252261699999963,0.6245328210000025,3.656453325000001,success
bounded_history,10,2,20,0.1207280819999994,3.5706840140000224,0.6295832159999861,3.691412096000022,success
bounded_history,10,2,21,0.12929721499997981,3.529996718999996,0.6286688699999843,3.659293933999976,success
bounded_history,10,2,22,0.1329248990000167,3.580398040999995,0.6164723489999915,3.713322940000012,success
bounded_history,10,2,23,0.12859766599999034,3.499296302999994,0.6189246840000067,3.6278939689999845,success
bounded_history,10,2,24,0.13195852900000204,3.5231187839999905,0.6241866400000049,3.6550773129999925,success
bounded_history,10,2,25,0.13227260499999716,3.5163069310000026,0.625732921000008,3.6485795359999997,success
bounded_history,10,2,26,0.12280819599999404,3.515902856999986,0.6226860200000033,3.63871105299998,success
bounded_history,10,2,27,0.12078750700001706,3.5798166020000224,0.6175539269999888,3.7006041090000394,success
bounded_history,10,2,28,0.1260748269999965,3.5584753660000104,0.6320697139999822,3.684550193000007,success
bounded_history,10,2,29,0.12757297600001039,3.5763042549999966,0.6898388090000083,3.703877231000007,success
bounded_history,10,2,30,0.14340319799998724,3.6306992679999723,0.6337204330000077,3.7741024659999596,success
